customer_id,influence_score,network_influence,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,uplift_score,ARPU,connections,city,plan_type,age,tenure_months
8942,0.35030575756793414,0.16325204262026494,0.6126126126126126,0.0007287203701701426,0.038535321041669936,0.0011315164566071646,0.3256973512995702,154726,612,Yogyakarta,Halo Postpaid,36,11.0
18953,0.34743817752586736,0.20265678199111598,0.7617617617617618,0.0013123442420802736,0.04617123107723393,0.0013817908833878372,0.3372861618235524,131461,761,Tangerang,Halo Postpaid,56,26.0
18242,0.345821762010855,0.19290634934390807,0.7247247247247247,0.0011716516895060546,0.04440627455990911,0.0013227464014924602,0.31941805568322945,140892,724,Semarang,Halo Postpaid,68,11.0
2118,0.3442449047651092,0.11276111498622256,0.42842842842842843,0.00032192158303532317,0.021437583920176636,0.000856526013249811,0.3785136469265505,147735,428,Bandung,Halo Postpaid,62,5.0
1153,0.340415916563906,0.15369601598059635,0.5765765765765766,0.0007441488082931881,0.03638726304888097,0.0010760754886346116,0.35576377542916876,136632,576,Depok,Halo Postpaid,28,19.0
17751,0.3397719256932795,0.15074791025649856,0.5655655655655656,0.0007062492407522624,0.035666939000003464,0.001052887219672871,0.35379440397670014,137955,565,Bekasi,Halo Postpaid,64,54.0
7267,0.33855759030156196,0.13760345534880367,0.5155155155155156,0.0001526139042586001,0.033788130459558356,0.0009575615158822512,0.3508080204051012,143193,515,Jakarta,Halo Postpaid,17,26.0
358,0.33553010360936864,0.19208359246212459,0.7217217217217217,0.0013149392560090536,0.04398349652503255,0.0013142123457350998,0.3029891665612969,137501,721,Yogyakarta,Halo Postpaid,48,11.0
18773,0.33475509802370734,0.21162247837333006,0.7957957957957957,0.0017884172480235458,0.047470549297753586,0.001435151151747304,0.22791026668593817,158942,795,Yogyakarta,Halo Postpaid,56,38.0
18456,0.3307447728178152,0.15286045780798424,0.5795795795795796,0.00044509443358289343,0.030310285150045555,0.0011068720687289803,0.3117914742365539,144884,579,Yogyakarta,Halo Postpaid,43,27.0
9265,0.32988950959151236,0.20768748768392947,0.7807807807807807,0.001990380937988876,0.04656065904447899,0.001418129972469252,0.23820128629485143,151534,780,Makassar,Halo Postpaid,62,21.0
11238,0.328813162326914,0.17770874640789094,0.6676676676676676,0.0011066224864466872,0.040837035893895424,0.0012236595835540447,0.269909159409394,149766,667,Depok,Halo Postpaid,66,49.0
18013,0.3230828261883626,0.17043344620802262,0.6396396396396397,0.0006116400029400913,0.04030831434405833,0.0011741908454522847,0.23415111926288384,161249,639,Makassar,Halo Postpaid,61,5.0
2657,0.3227771559756797,0.1384332399041967,0.5185185185185185,0.00041577200083066005,0.033836384752431434,0.0009622843450061776,0.3366621500350024,132739,518,Depok,Halo Postpaid,26,6.0
8814,0.3219911968055087,0.12311124627354421,0.4674674674674675,0.0002541830888900298,0.023803984110958777,0.000919350426860536,0.2593467457402274,169008,467,Makassar,Halo Postpaid,65,32.0
3000,0.31955377004810853,0.19235756769742637,0.7227227227227228,0.0013023234900445852,0.044091883676209795,0.0013133409007283988,0.28067185742284495,130342,722,Yogyakarta,Halo Postpaid,43,3.0
6646,0.3169675466765751,0.18841600650313034,0.7077077077077077,0.0011948112168296923,0.04348389167047274,0.001277615417511098,0.2645528601883075,135780,707,Yogyakarta,Halo Postpaid,58,21.0
22534,0.3160450146904529,0.2031463252294347,0.7637637637637638,0.001886973484739061,0.04555268362188456,0.0013818800473514305,0.19147871149669737,158195,763,Tangerang,Halo Postpaid,39,43.0
1675,0.3128195365148013,0.17525655048798222,0.6576576576576576,0.0006905424019051421,0.04145310566493675,0.0012248962274293506,0.2707647907990211,134411,657,Semarang,Halo Postpaid,46,17.0
12527,0.3083392664216655,0.16044656545833133,0.6086086086086087,0.000964561448249161,0.03104450110263161,0.001168590673835944,0.19700160059583238,165360,608,Semarang,Halo Postpaid,38,33.0
15028,0.30806239367557464,0.16479969761428748,0.6246246246246246,0.0007966335931306988,0.03259001280198144,0.0011875194374131842,0.23441128657464916,148378,624,Makassar,Halo Postpaid,50,8.0
8619,0.30700037424644183,0.1427093430458977,0.5345345345345345,0.00024807034339202876,0.035054327832241106,0.0010004394734231719,0.16644409257020676,183339,534,Semarang,Halo Postpaid,38,24.0
10699,0.30673423653417276,0.1945392914335919,0.7307307307307307,0.0011466387271136308,0.04494002786772396,0.0013397684087992803,0.2417237999018399,132229,730,Semarang,Halo Postpaid,59,24.0
28020,0.3063127317802502,0.14189840157166436,0.5315315315315315,0.0006755639557790835,0.0343946716822782,0.0009918391170687256,0.24415842787896108,151890,531,Jakarta,Halo Postpaid,18,34.0
26370,0.3062081002351156,0.13310901485047436,0.5045045045045045,0.0002856281124750941,0.026670588014275343,0.0009753387706424753,0.22166623573731442,164298,504,Surabaya,Halo Postpaid,63,21.0
27054,0.3046346626677685,0.1402501387998149,0.5255255255255256,0.000342893140689383,0.03414754731712958,0.0009845892159151806,0.2488790178696063,148983,525,Bandung,Halo Postpaid,58,7.0
5423,0.3042394617836566,0.17894533910616964,0.6716716716716716,0.0008389902527349851,0.042043407850064,0.0012272866502079044,0.1810283153529717,160250,671,Medan,Halo Postpaid,62,5.0
7224,0.3033981092918465,0.166145647060471,0.6236236236236237,0.0007110038194929946,0.0391147198544904,0.0011332409442769429,0.25554712616914527,134721,623,Tangerang,Halo Postpaid,59,67.0
24273,0.29895678887697974,0.18915978691853996,0.7107107107107107,0.0012241960134754997,0.043407960814200626,0.001296280135773074,0.22915968527390945,131629,710,Yogyakarta,Halo Postpaid,47,25.0
28016,0.29832648435331266,0.1701286309679922,0.6386386386386387,0.0010338852054469466,0.0396645194572786,0.0011774805706046415,0.23121757991528946,137788,638,Medan,Halo Postpaid,38,43.0
5976,0.29828918444509034,0.13281965528632098,0.4974974974974975,3.794064436208133e-05,0.032815535361375825,0.0009276476420484782,0.2538458058264049,143623,497,Bandung,Halo Postpaid,27,36.0
6768,0.2972856927705013,0.21084673642880924,0.7927927927927928,0.001764466442567424,0.047405502587117294,0.0014241838927593993,0.19148249549744412,136354,792,Surabaya,Halo Postpaid,68,37.0
10092,0.2952018220525087,0.12383609945098209,0.47147147147147145,0.00044605536636617356,0.02249599162919765,0.0009308793368931355,0.17126595568028968,177161,471,Surabaya,Halo Postpaid,28,32.0
1493,0.29444345226629753,0.19872719086300683,0.7467467467467468,0.00142211152791124,0.045376584072038116,0.0013633211053311267,0.14699893980273698,156153,746,Surabaya,Halo Postpaid,46,38.0
